subregion,region,Rate of Police Killings per Million Population,Percent population black,Percent victims black,Disparity,"Violent Crime per 1,000 residents","High school graduate or higher, percent of persons age 25 years+, 2010-2014","Bachelor's degree or higher, percent of persons age 25 years+, 2010-2014","Median household income (in 2014 dollars), 2010-2014","Per capita income in past 12 months (in 2014 dollars), 2010-2014","Persons in poverty, percent",police_force_size,all,white,non-white,black,hispanic,asian
Philadelphia,Pennsylvania,1.281807246,0.412925872,1,0.587074128,10.20639019,81.4,24.5,37460,22542,26.7,6045,0.8354012,0.7768987,0.8994801,0.9246575,0.8173913,**
Phoenix,Arizona,4.554154755,0.056463712,0,-0.056463712,5.692042851,80.8,26.5,46881,24057,23.2,4475,0.3117318,0.2708018,0.4273504,0.5217391,0.4277108,**
Portland,Oregon,4.843709636,0.057255877,0,-0.057255877,4.700012917,90.9,44.4,53230,32438,18.3,1000,0.21,0.1864407,0.3913043,**,**,**
Raleigh,North Carolina,2.27326459,0.263644134,1,0.736355866,4.187353374,90.7,47.6,54581,31169,16.3,1150,0.2695652,0.2063492,0.5609756,**,**,**
Riverside,California,0,0.062337248,0,-0.062337248,4.331714157,78.1,22.1,56089,22212,19.7,955,0.2198953,0.35,0.0769231,0,0.1428571,**
Sacramento,California,2.061010019,0.133897638,0,-0.133897638,6.117077735,82.9,29.3,50013,26060,22.3,1820,0.0796703,0.0633803,0.1375,0.32,0,**
San Antonio,Texas,3.480204942,0.058025457,0.2,0.141974543,5.362299775,81.1,24.9,46317,22784,20.1,2955,0.6243655,0.4438776,0.7139241,0.5744681,0.7391304,**
San Diego,California,5.792614272,0.059734162,0.125,0.065265838,3.775336352,87.3,42.3,65753,33789,15.8,4460,0.3621076,0.3729839,0.3484848,0.5384615,0.2977941,0.515625
San Francisco,California,9.384505478,0.054877069,0.125,0.070122931,7.931080192,86.7,52.9,78378,49986,13.3,3020,0.3162252,0.2594937,0.3784722,0.1860465,0.2533333,0.4861111
San Jose,California,5.906761766,0.027080534,0.166666667,0.139586133,3.191620274,82.5,38.2,83787,34992,11.8,1875,0.4666667,0.4723404,0.4571429,**,0.4069767,0.44
Santa Ana,California,5.971771436,0.009486159,0,-0.009486159,3.762216005,54.1,11.8,52519,16345,22.1,1590,0.0943396,0.0588235,0.1208791,**,0.1486486,0
Seattle,Washington,4.488719847,0.070492353,0,-0.070492353,5.986456036,93.1,57.9,67365,44167,14,1445,0.1176471,0.1155779,0.1222222,0.1875,0,**
St. Louis,Missouri,9.451230078,0.492689474,1,0.507310526,16.84839282,83.2,30.4,34800,23244,27.8,950,0.5894737,0.5384615,0.6712329,0.6825397,**,**
Tampa,Florida,5.575705536,0.231480991,0.5,0.268519009,5.798733757,86.2,33.7,43740,29704,22,1715,0.1778426,0.1319149,0.2777778,0.2765957,0.3269231,**
Tucson,Arizona,5.682119506,0.044248559,0,-0.044248559,6.812861288,84.2,25,37149,20437,25.1,2020,0.3985149,0.4166667,0.375,**,0.3333333,**
Virginia Beach,Virginia,4.434786465,0.184509291,1,0.815490709,1.463479533,93.4,33.5,67001,32477,8.3,1070,0.7897196,0.75625,0.8888889,0.7272727,1,**
Washington D.C.,DC,3.035394214,0.456907267,1,0.543092733,11.85321441,88.9,53.4,69235,46502,18.2,9340,0.1156317,0.0567742,0.1573651,0.1701891,0.0898876,0.2307692
Wichita,Kansas,5.149158241,0.109872739,0,-0.109872739,7.898808742,87.1,28.8,45907,24921,17.3,1075,0.6,0.5117647,0.9333333,**,0.8965517,**
