Police Department, State,2014 population (US Census),2015 victims,Rate of Police Killings per Million Population,Black population (2012 Census by Race),Percent population black,2015 black victims,Percent victims black,Disparity,Violent crimes (2014 FBI UCR),"Violent Crime per 1,000 residents",Police Department,People,"Population estimates, July 1, 2014,  (V2014)","Population estimates base, April 1, 2010,  (V2014)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)","Population, Census, April 1, 2010","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent, April 1, 2010","Female persons, percent, April 1, 2010","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2010-2014","Foreign born persons, percent, 2010-2014","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2010-2014","Median value of owner-occupied housing units, 2010-2014","Median selected monthly owner costs -with a mortgage, 2010-2014","Median selected monthly owner costs -without a mortgage, 2010-2014","Median gross rent, 2010-2014","Households, 2010-2014","Persons per household, 2010-2014","Living in same house 1 year ago, percent of persons age 1 year+, 2010-2014","Language other than English spoken at home, percent of persons age 5 years+, 2010-2014","High school graduate or higher, percent of persons age 25 years+, 2010-2014","Bachelor's degree or higher, percent of persons age 25 years+, 2010-2014","With a disability, under age 65 years, percent, 2010-2014","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2010-2014","In civilian labor force, female, percent of population age 16 years+, 2010-2014","Total accommodation and food services sales, 2007 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)  (c)","Total manufacturers shipments, 2007 ($1,000)  (c)","Total merchant wholesaler sales, 2007 ($1,000)  (c)","Total retail sales, 2007 ($1,000)  (c)","Total retail sales per capita, 2007  (c)","Mean travel time to work (minutes), workers age 16 years+, 2010-2014","Median household income (in 2014 dollars), 2010-2014","Per capita income in past 12 months (in 2014 dollars), 2010-2014","Persons in poverty, percent",Businesses,"All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007",Geography,"Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Memphis,Tennessee,656861,3,4.567176313,408075,0.621250158,2,0.666666667,0.045416509,11399,17.3537476,Memphis,"Memphis city, Tennessee",656861,651858,0.8,646889,7.6,26,10.3,52.5,29.4,63.3,0.2,1.6,Z,1.4,6.5,27.5,34975,6.2,291883,49.9,95400,1211,450,831,248320,2.58,80.2,9.4,83.5,24.7,10.7,20.5,63.9,61.5,1463050,5451013,14709553,25485586,8975228,13210,21.6,37099,21909,27.4,"Memphis city, Tennessee",52130,27286,16556,22597,26578,6815,41251,"Memphis city, Tennessee",2053.3,315.06,"""4748000"""
Mesa,Arizona,464704,4,8.607629803,14101,0.030344047,0,0,-0.030344047,2119,4.559891888,Mesa,"Mesa city, Arizona",464704,439865,5.6,439041,7.7,26.3,14.1,50.8,77.1,3.5,2.4,1.9,0.4,3.4,26.4,64.3,34372,12.4,201173,60.5,150800,1357,396,875,167609,2.68,79.8,21.6,87.4,24.3,7.7,20.1,61.9,55.4,753178,2460581,3072462,2037336,6294523,13669,24.8,48259,24427,16.3,"Mesa city, Arizona",32383,14323,9024,4123,25796,2778,26102,"Mesa city, Arizona",3217.5,136.45,"""0446000"""
Miami,Florida,430332,3,6.971361646,64993,0.151029902,2,0.666666667,0.515636764,4473,10.39430021,Miami,"Miami city, Florida",430332,399508,7.7,399457,6,18.4,16,50.2,72.6,19.2,0.3,1,Z,2.7,70,11.9,7052,57.6,183994,31.6,211400,1828,518,958,152525,2.67,83.7,77.3,72,23.5,7.6,38.2,61.4,55.6,1337750,5236754,1079445,11188164,5622524,13240,26.6,30858,21724,29.9,"Miami city, Florida",85143,45772,24414,61228,19022,3355,77604,"Miami city, Florida",11135.9,35.87,"""1245000"""
Milwaukee,Wisconsin,599642,1,1.667661705,233325,0.389107167,1,1,0.610892833,8864,14.78215335,Milwaukee,"Milwaukee city, Wisconsin",599642,594738,0.8,594833,8.2,27.1,8.9,51.8,44.8,40,0.8,3.5,Z,3.4,17.3,37,26943,9.8,255569,43,121600,1348,555,784,230181,2.53,78.9,19.4,81.8,22.8,11.3,15.9,65.1,62.7,949053,4460788,9058917,5599474,4001682,6640,22.1,35489,19636,29.4,"Milwaukee city, Wisconsin",31769,14389,11539,9630,19621,2544,26510,"Milwaukee city, Wisconsin",6188.3,96.12,"""5553000"""
Minneapolis,Minnesota,407207,1,2.455753462,69971,0.171831525,1,1,0.828168475,4093,10.05139892,Minneapolis,"Minneapolis city, Minnesota",407207,382599,6.4,382578,6.9,20.2,8,49.7,63.8,18.6,2,5.6,Z,4.4,10.5,60.3,16731,15.1,178287,48.6,205200,1634,590,854,166824,2.26,75,20.4,89,47,8.4,12.6,73.3,70.4,1333466,5775500,4107488,5518606,3867032,10207,22.6,50767,32232,22.6,"Minneapolis city, Minnesota",39271,19655,12615,5915,30648,2558,33572,"Minneapolis city, Minnesota",7088.3,53.97,"""2743000"""
Nashville,Tennessee,644014,4,6.211045102,169272,0.262839007,1,0.25,-0.012839007,7270,11.28857447,Nashville,"Nashville-Davidson (balance), Tennessee",644014,603506,6.7,601222,7.2,21.7,10.2,51.5,60.5,28.4,0.3,3.1,0.1,2.5,10,56.3,35356,12.1,272622,53.5,165200,1357,448,858,250256,2.4,79.2,16.2,86.2,35.8,8.5,18.4,69.1,64.5,2126158,6962250,6452038,10837514,10272149,17337,23.4,46758,27798,19.2,"Nashville-Davidson (balance), Tennessee",61668,33393,16501,11319,46933,6329,50690,"Nashville-Davidson (balance), Tennessee",1265.4,475.13,"""4752006"""
New Orleans,Louisiana,384320,4,10.40799334,204866,0.533060991,3,0.75,0.216939009,3770,9.809533722,New Orleans,"New Orleans city, Louisiana",384320,343829,11.8,343829,6.4,21.3,10.9,51.6,33,60.2,0.3,2.9,Z,1.7,5.2,30.5,18584,6,189896,46.9,184100,1599,473,927,150409,2.37,82.5,9.4,84.8,34.4,10.2,20,61.9,59.3,2148176,2039453,3088945,1938441,2718026,9434,23.1,36964,27255,27.7,"New Orleans city, Louisiana",27165,13632,8245,10327,15117,2991,21886,"New Orleans city, Louisiana",2029.4,169.42,"""2255000"""
New York,New York,8491079,11,1.295477289,1861295,0.219205945,7,0.636363636,0.417157691,50564,5.954955784,New York,"New York city, New York",8491079,8174959,3.9,8175133,6.3,21.6,12.1,52.5,44,25.5,0.7,12.7,0.1,4,28.6,33.3,189808,37.1,3371062,31.9,490700,2555,813,1234,3095931,2.64,89,49,80.1,35,6.6,15.1,63.3,58.2,22095094,62555079,20411572,147227987,78206482,9411,39.4,52737,32459,20.6,"New York city, New York",944079,529631,305198,403812,496231,41260,856787,"New York city, New York",27012.5,302.64,"""3651000"""
Oakland,California,413775,5,12.083862,106637,0.257717358,4,0.8,0.542282642,6910,16.69989729,Oakland,"Oakland city, California",413775,390905,5.9,390724,6.7,21.3,11.1,51.5,34.5,28,0.8,16.8,0.6,5.6,25.4,25.9,14656,27.1,169710,39.8,435000,2440,563,1114,155918,2.53,83,40.3,80.6,38.6,8.2,18,66.2,61.2,749540,3646031,1797673,3541512,2987123,7516,29.2,52962,32566,21,"Oakland city, California",39382,18769,13838,16459,20101,2381,34146,"Oakland city, California",7004,55.79,"""0653000"""
Oklahoma City,Oklahoma,620602,8,12.89070934,85744,0.138162623,5,0.625,0.486837377,4782,7.70542151,Oklahoma City,"Oklahoma City city, Oklahoma",620602,580008,7,579999,7.9,25.4,11.3,50.8,62.7,15.1,3.5,4,0.1,5.2,17.2,56.7,43808,12.4,256930,58.8,135200,1289,445,763,230517,2.55,79.6,19.6,85,28.5,9.8,21.9,66.3,60.4,1163856,6007047,7711818,D,8430824,15444,20.5,47004,26275,18.2,"Oklahoma City city, Oklahoma",56567,25849,15416,9736,42217,5553,43990,"Oklahoma City city, Oklahoma",956.4,606.41,"""4055000"""
Omaha,Nebraska,446599,3,6.717435552,55128,0.123439596,1,0.333333333,0.209893738,2458,5.503818862,Omaha,"Omaha city, Nebraska",446599,423327,5.5,408958,7.5,25.1,11.4,50.8,73.1,13.7,0.8,2.4,0.1,3,13.1,68,27728,9.8,177518,58.1,134700,1323,524,797,172034,2.47,81.2,15.4,87.8,33.8,8.1,15.6,70.7,66.5,1041517,4201690,8853876,5606004,7495144,16940,18.5,48751,27226,16.8,"Omaha city, Nebraska",34343,17003,9128,3279,28349,3866,26376,"Omaha city, Nebraska",3217.9,127.09,"""3137000"""
Philadelphia,Pennsylvania,1560297,2,1.281807246,644287,0.412925872,2,1,0.587074128,15925,10.20639019,Philadelphia,"Philadelphia city, Pennsylvania",1560297,1526006,2.2,1526006,6.6,22.5,12.1,52.8,41,43.4,0.5,6.3,Z,2.8,12.3,36.9,69602,12.5,670171,52.9,143200,1248,438,915,580297,2.58,85.8,21.9,81.4,24.5,12.1,15.9,59.2,56.7,3051401,14539824,18069415,11566105,11167787,7299,32.2,37460,22542,26.7,"Philadelphia city, Pennsylvania",88140,48304,27983,33353,50416,6620,76024,"Philadelphia city, Pennsylvania",11379.5,134.1,"""4260000"""
Phoenix,Arizona,1537058,7,4.554154755,86788,0.056463712,0,0,-0.056463712,8749,5.692042851,Phoenix,"Phoenix city, Arizona",1537058,1447617,6.2,1445632,8.3,28.2,8.4,49.8,65.9,6.5,2.2,3.2,0.2,3.6,40.8,46.5,76322,20.2,590149,54,155900,1394,432,876,520856,2.83,79.8,36.6,80.8,26.5,6.9,23.6,65.7,59.6,3644383,8803096,16926892,23670515,21859505,14209,24.5,46881,24057,23.2,"Phoenix city, Arizona",112192,52309,30006,20961,81404,10089,89579,"Phoenix city, Arizona",2797.8,516.7,"""0455000"""
Portland,Oregon,619360,3,4.843709636,35462,0.057255877,0,0,-0.057255877,2911,4.700012917,Portland,"Portland city, Oregon",619360,583789,6.1,583776,6,19.1,10.4,50.5,76.1,6.3,1,7.1,0.5,4.7,9.4,72.2,32385,14,265439,52.8,285300,1769,580,945,252185,2.33,79.3,19.4,90.9,44.4,9,16.1,69.4,65.6,1842443,5758408,8434554,20566437,8174115,14950,24.7,53230,32438,18.3,"Portland city, Oregon",65461,30374,20883,8650,51903,5010,54232,"Portland city, Oregon",4375.2,133.43,"""4159000"""
Raleigh,North Carolina,439896,1,2.27326459,115976,0.263644134,1,1,0.736355866,1842,4.187353374,Raleigh,"Raleigh city, North Carolina",439896,403971,8.9,403892,7.2,23.1,8.2,51.7,57.5,29.3,0.5,4.3,Z,2.6,11.4,53.3,21562,13.3,176124,53.2,205200,1449,486,914,166316,2.42,78.9,17.4,90.7,47.6,5.4,16.3,70.7,66.1,999744,3402469,2285719,4243219,7066392,18640,21.9,54581,31169,16.3,"Raleigh city, North Carolina",39440,20272,11214,9550,26907,3532,32294,"Raleigh city, North Carolina",2826.3,142.9,"""3755000"""
Riverside,California,319504,0,0,19917,0.062337248,0,0,-0.062337248,1384,4.331714157,Riverside,"Riverside city, California",319504,303987,5.1,303871,7.2,26.8,8.6,50.6,56.5,7,1.1,7.4,0.4,5.1,49,34,14140,22.9,98444,55.4,242100,1843,415,1158,90690,3.34,82.4,41.7,78.1,22.1,6.4,21.7,62.5,55.4,456493,1866514,2569943,2854887,4757498,16371,29.2,56089,22212,19.7,"Riverside city, California",22334,10773,6369,9233,11147,1786,18438,"Riverside city, California",3745,81.14,"""0662000"""
Sacramento,California,485199,1,2.061010019,64967,0.133897638,0,0,-0.133897638,2968,6.117077735,Sacramento,"Sacramento city, California",485199,466488,4,466488,7.5,24.9,10.6,51.3,45,14.6,1.1,18.3,1.4,7.1,26.9,34.5,26539,22.1,190911,47.6,228400,1704,429,1008,177578,2.63,78.8,36.9,82.9,29.3,9.7,16.7,63.6,60.1,1021402,4830023,3985478,8940109,4307544,9451,24.2,50013,26060,22.3,"Sacramento city, California",35990,17174,11449,13403,19735,2909,29716,"Sacramento city, California",4764.2,97.92,"""0664000"""
San Antonio,Texas,1436697,5,3.480204942,83365,0.058025457,1,0.2,0.141974543,7704,5.362299775,San Antonio,"San Antonio city, Texas",1436697,1327556,8.2,1327407,7.6,26.8,10.4,51.2,72.6,6.9,0.9,2.4,0.1,3.4,63.2,26.6,107466,14.2,524246,55,114600,1268,424,840,484219,2.81,80.5,44.9,81.1,24.9,10.1,22.9,63.8,58.1,3545872,9288624,11971361,11116910,20252070,15300,23.3,46317,22784,20.1,"San Antonio city, Texas",109186,58132,30581,51030,51268,12080,88726,"San Antonio city, Texas",2879.8,460.93,"""4865000"""
San Diego,California,1381069,8,5.792614272,82497,0.059734162,1,0.125,0.065265838,5214,3.775336352,San Diego,"San Diego city, California",1381069,1301621,6.1,1307402,6.2,21.4,10.7,49.5,58.9,6.7,0.6,15.9,0.5,5.1,28.8,45.1,95048,26.3,516033,47.5,448000,2370,492,1359,479079,2.72,81.8,40.2,87.3,42.3,5.3,17.5,64.7,60.2,5154482,9911321,12988977,21927745,16525751,12735,22.9,65753,33789,15.8,"San Diego city, California",130519,64360,40020,38946,80864,10808,108134,"San Diego city, California",4020.4,325.19,"""0666000"""
San Francisco,California,852469,8,9.384505478,46781,0.054877069,1,0.125,0.070122931,6761,7.931080192,San Francisco,"San Francisco city, California",852469,805195,5.9,805235,4.4,13.4,13.6,49.3,48.5,6.1,0.5,33.3,0.4,4.7,15.1,41.9,28505,35.5,376942,36.6,765700,3206,558,1533,348832,2.32,84.4,44.6,86.7,52.9,6.1,11.4,69.2,65,5039171,7752020,2077457,10562176,12399960,15516,31,78378,49986,13.3,"San Francisco city, California",105030,53836,31639,34956,61207,4935,91464,"San Francisco city, California",17179.1,46.87,"""0667000"""
San Jose,California,1015785,6,5.906761766,27508,0.027080534,1,0.166666667,0.139586133,3242,3.191620274,San Jose,"San Jose city, California",1015785,952560,6.6,945942,7.3,24.8,10.1,49.7,42.8,3.2,0.9,32,0.4,5,33.2,28.7,31987,38.7,314038,57.4,579500,2805,573,1528,310584,3.13,86,56.2,82.5,38.2,4.9,13.8,67.7,61,1714612,3559137,17377938,30166655,11482367,12329,26.6,83787,34992,11.8,"San Jose city, California",71553,34095,22000,34323,31911,3309,62940,"San Jose city, California",5358.7,176.53,"""0668000"""
Santa Ana,California,334909,2,5.971771436,3177,0.009486159,0,0,-0.009486159,1260,3.762216005,Santa Ana,"Santa Ana city, California",334909,324782,3.1,324528,8.9,30.7,6.8,48.9,45.9,1.5,1,10.5,0.3,3.6,78.2,9.2,5107,47.3,76896,45.4,343000,1929,402,1307,74437,4.39,87,82.8,54.1,11.8,6.4,32.5,67.3,57.7,447400,1266417,5339942,2881466,3346127,9974,24.7,52519,16345,22.1,"Santa Ana city, California",22536,11172,6343,11340,8831,1568,18834,"Santa Ana city, California",11900.6,27.27,"""0669000"""
Seattle,Washington,668342,3,4.488719847,47113,0.070492353,0,0,-0.070492353,4001,5.986456036,Seattle,"Seattle city, Washington",668342,608658,9.8,608660,5.3,15.4,10.8,50,69.5,7.9,0.8,13.8,0.4,5.1,6.6,66.3,32603,18,308516,46.2,437400,2307,694,1131,290822,2.11,77.2,22.6,93.1,57.9,5.9,11.6,72.2,68,2730802,8404067,7076203,11531366,15968835,26945,26,67365,44167,14,"Seattle city, Washington",73997,34397,22412,12403,55441,5078,61794,"Seattle city, Washington",7250.9,83.94,"""5363000"""
St. Louis,Missouri,317419,3,9.451230078,156389,0.492689474,3,1,0.507310526,5348,16.84839282,St. Louis,"St. Louis city, Missouri",317419,319365,-0.6,319294,6.6,21.2,11,51.7,43.9,49.2,0.3,2.9,Z,2.4,3.5,42.2,18928,6.8,176002,44.2,118600,1196,411,742,139594,2.2,78.5,9.6,83.2,30.4,11.5,19.9,65,62.5,1059295,3510559,10920629,5042147,2496672,7020,23.8,34800,23244,27.8,"St. Louis city, Missouri",23632,11615,6685,6585,15027,2412,18410,"St. Louis city, Missouri",5157.5,61.91,"""2965000"""
Tampa,Florida,358699,2,5.575705536,83032,0.231480991,1,0.5,0.268519009,2080,5.798733757,Tampa,"Tampa city, Florida",358699,335715,6.8,335709,6.4,22.6,11,51.1,62.9,26.2,0.4,3.4,0.1,3.2,23.1,46.3,22292,15.4,157130,49.6,157500,1513,404,956,139337,2.42,78.6,25.7,86.2,33.7,9,19.4,64.3,60.2,1376201,4579874,2836469,6460543,6572083,19627,23.3,43740,29704,22,"Tampa city, Florida",38662,20378,10798,13538,21820,3351,31505,"Tampa city, Florida",2960.2,113.41,"""1271000"""
Tucson,Arizona,527972,3,5.682119506,23362,0.044248559,0,0,-0.044248559,3597,6.812861288,Tucson,"Tucson city, Arizona",527972,520561,1.4,520116,6.9,23.3,11.9,50.5,69.7,5,2.7,2.9,0.2,4.2,41.6,47.2,40434,14.9,229762,49.6,133500,1205,378,750,204341,2.46,74.9,33.6,84.2,25,10.4,19.9,60.8,57.3,1214870,4248814,3446118,2124592,8647042,16110,22.1,37149,20437,25.1,"Tucson city, Arizona",42095,18698,13044,9766,28467,3990,33297,"Tucson city, Arizona",2294.2,226.71,"""0477000"""
Tulsa,Oklahoma,399682,1,2.501989081,61230,0.153196791,0,0,-0.153196791,3217,8.048898875,Tulsa,"Tulsa city, Oklahoma",399682,391922,2,391906,7.5,24.5,12.5,51.3,62.6,15.9,5.3,2.3,0.1,5.9,14.1,57.9,26033,10.1,185127,52.9,123100,1195,426,738,163519,2.37,79.5,15.7,86.8,30.1,11,23.5,65.6,59.3,928981,4199979,8815152,8307096,7081717,18414,18.4,41957,27313,20,"Tulsa city, Oklahoma",41140,20786,10256,6039,31930,5019,31306,"Tulsa city, Oklahoma",1991.9,196.75,"""4075000"""
Virginia Beach,Virginia,450980,2,4.434786465,83210,0.184509291,2,1,0.815490709,660,1.463479533,Virginia Beach,"Virginia Beach city, Virginia",450980,437966,3,437994,6.7,24,10.6,51,67.7,19.6,0.4,6.1,0.2,4,6.6,64.5,61658,8.9,177879,64.1,263200,1826,566,1239,165296,2.63,82,11.9,93.4,33.5,6.8,11.7,64.6,61.9,1074236,1547365,1806461,2835067,5579915,12853,23.1,67001,32477,8.3,"Virginia Beach city, Virginia",34768,17111,10971,6535,26342,4962,26293,"Virginia Beach city, Virginia",1758.9,249.02,"""5182000"""
Washington D.C.,DC,658893,2,3.035394214,301053,0.456907267,2,1,0.543092733,7810,11.85321441,Washington D.C.,"Washington city, District of Columbia",658893,601767,9.5,601723,5.4,16.8,11.4,52.8,38.5,50.7,0.3,3.5,0.1,2.9,9.1,34.8,29557,14,296719,41.6,454500,2322,608,1302,267415,2.22,80,16.5,88.9,53.4,8.2,7.1,67.9,65.6,4278171,7250214,332844,2117990,3843716,6555,29.8,69235,46502,18.2,"Washington city, District of Columbia",55887,27588,19291,22505,28344,4040,46629,"Washington city, District of Columbia",9856.6,61.05,"""1150000"""
Wichita,Kansas,388413,2,5.149158241,42676,0.109872739,0,0,-0.109872739,3068,7.898808742,Wichita,"Wichita city, Kansas",388413,382386,1.6,382368,8,26.6,11.5,50.7,71.9,11.5,1.2,4.8,0.1,4.3,15.3,64.5,26229,10.2,167310,60.6,118400,1196,435,708,150282,2.53,82.7,16.6,87.1,28.8,9,17,66.7,61.6,758642,3239882,14213156,11827479,5765648,15976,17.8,45907,24921,17.3,"Wichita city, Kansas",30185,14126,8070,3684,24319,3007,23361,"Wichita city, Kansas",2400.4,159.29,"""2079000"""
Cities Total,,53931009,249,4.617009854,8023729.688,0.148777667,102,0.409638554,0.260860887,,,Cities Total,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
U.S. Average,,318900000,1152,3.612417686,42094800,0.132,321,0.278645833,0.146645833,,3.66,U.S. Average,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,Violent Crime Data from https://www.fbi.gov/about-us/cjis/ucr/crime-in-the-u.s/2014/crime-in-the-u.s.-2014/tables/table-8/Table_8_Offenses_Known_to_Law_Enforcement_by_State_by_City_2014.xls/view,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
