Police Department, State,2014 population (US Census),2015 victims,Rate of Police Killings per Million Population,Black population (2012 Census by Race),Percent population black,2015 black victims,Percent victims black,Disparity,Violent crimes (2014 FBI UCR),"Violent Crime per 1,000 residents",Police Department,People,"Population estimates, July 1, 2014,  (V2014)","Population estimates base, April 1, 2010,  (V2014)","Population, percent change - April 1, 2010 (estimates base) to July 1, 2014,  (V2014)","Population, Census, April 1, 2010","Persons under 5 years, percent, April 1, 2010","Persons under 18 years, percent, April 1, 2010","Persons 65 years and over, percent, April 1, 2010","Female persons, percent, April 1, 2010","White alone, percent, April 1, 2010  (a)","Black or African American alone, percent, April 1, 2010  (a)","American Indian and Alaska Native alone, percent, April 1, 2010  (a)","Asian alone, percent, April 1, 2010  (a)","Native Hawaiian and Other Pacific Islander alone, percent, April 1, 2010  (a)","Two or More Races, percent, April 1, 2010","Hispanic or Latino, percent, April 1, 2010  (b)","White alone, not Hispanic or Latino, percent, April 1, 2010","Veterans, 2010-2014","Foreign born persons, percent, 2010-2014","Housing units, April 1, 2010","Owner-occupied housing unit rate, 2010-2014","Median value of owner-occupied housing units, 2010-2014","Median selected monthly owner costs -with a mortgage, 2010-2014","Median selected monthly owner costs -without a mortgage, 2010-2014","Median gross rent, 2010-2014","Households, 2010-2014","Persons per household, 2010-2014","Living in same house 1 year ago, percent of persons age 1 year+, 2010-2014","Language other than English spoken at home, percent of persons age 5 years+, 2010-2014","High school graduate or higher, percent of persons age 25 years+, 2010-2014","Bachelor's degree or higher, percent of persons age 25 years+, 2010-2014","With a disability, under age 65 years, percent, 2010-2014","Persons  without health insurance, under age 65 years, percent","In civilian labor force, total, percent of population age 16 years+, 2010-2014","In civilian labor force, female, percent of population age 16 years+, 2010-2014","Total accommodation and food services sales, 2007 ($1,000)  (c)","Total health care and social assistance receipts/revenue, 2007 ($1,000)  (c)","Total manufacturers shipments, 2007 ($1,000)  (c)","Total merchant wholesaler sales, 2007 ($1,000)  (c)","Total retail sales, 2007 ($1,000)  (c)","Total retail sales per capita, 2007  (c)","Mean travel time to work (minutes), workers age 16 years+, 2010-2014","Median household income (in 2014 dollars), 2010-2014","Per capita income in past 12 months (in 2014 dollars), 2010-2014","Persons in poverty, percent",Businesses,"All firms, 2007","Men-owned firms, 2007","Women-owned firms, 2007","Minority-owned firms, 2007","Nonminority-owned firms, 2007","Veteran-owned firms, 2007","Nonveteran-owned firms, 2007",Geography,"Population per square mile, 2010","Land area in square miles, 2010",FIPS Code
Chicago,Illinois,2722389,8,2.938595476,872286,0.320411962,5,0.625,0.304588038,24089,8.848478303,Chicago,"Chicago city, Illinois",2722389,2695598,1,2695598,6.9,23.1,10.3,51.5,45,32.9,0.5,5.5,Z,2.7,28.9,31.7,87211,20.9,1194337,44.7,225700,1906,615,963,1028829,2.58,83.6,35.9,81.6,34.9,7.3,20.6,66.3,61.9,7663319,17662015,22115580,28519301,19842717,7059,33.7,47831,28623,22.7,"Chicago city, Illinois",255459,128852,92119,98750,143681,13550,226904,"Chicago city, Illinois",11841.8,227.63,"""1714000"""
Cleveland,Ohio,389521,2,5.134511361,208208,0.534523171,2,1,0.465476829,5186,13.31378796,Cleveland,"Cleveland city, Ohio",389521,396697,-1.8,396815,7.1,24.6,12,52,37.3,53.3,0.3,1.8,Z,2.8,10,33.4,23233,4.7,207536,43.5,73100,1046,380,661,166650,2.28,79.8,12,77.4,15.2,15.3,18,58.8,56.4,868096,6923525,7497028,4912461,2298137,5246,24.2,26179,17436,35.9,"Cleveland city, Ohio",26174,13870,7897,8358,15500,2413,20754,"Cleveland city, Ohio",5107.2,77.7,"""3916000"""
Colorado Springs,Colorado,445830,1,2.243007424,24391,0.054709194,0,0,-0.054709194,2039,4.573492138,Colorado Springs,"Colorado Springs city, Colorado",445830,417341,6.8,416427,7.1,25,10.9,51,78.8,6.3,1,3,0.3,5.1,16.1,70.7,53696,8.2,179607,58.8,208600,1474,394,888,170273,2.51,75.9,13.2,92.8,36.3,8.7,15.4,65.2,60.8,1011850,2617470,3819886,2482366,7027329,17579,20.9,54228,29355,13.9,"Colorado Springs city, Colorado",41019,19027,12933,4669,33412,4622,32121,"Colorado Springs city, Colorado",2140.6,194.54,"""0816000"""
Columbus,Ohio,835957,4,4.78493511,217694,0.260412916,2,0.5,0.239587084,4563,5.458414727,Columbus,"Columbus city, Ohio",835957,788654,6,787033,7.6,23.2,8.6,51.2,61.5,28,0.3,4.1,0.1,3.3,5.6,59.3,43465,11.3,370965,45.9,128900,1311,477,822,329994,2.4,77,14.3,88.3,33.4,9.3,15.7,69.8,66.2,1944791,6489958,11317893,11029444,12077018,16088,21.3,44774,24721,22.3,"Columbus city, Ohio",56954,29437,18952,13094,40616,5632,46570,"Columbus city, Ohio",3624.1,217.17,"""3918000"""
Corpus Christi,Texas,320434,2,6.241534918,11912,0.037174582,0,0,-0.037174582,2094,6.534887059,Corpus Christi,"Corpus Christi city, Texas",320434,305215,5,305215,7.1,25.8,11.9,51,80.9,4.3,0.6,1.8,0.1,2.5,59.7,33.3,25059,8.1,125469,56.7,113700,1377,462,872,113376,2.7,79.6,38.6,81.2,21.2,10.6,22.4,64.2,57.9,607063,2079626,D,2682580,4133779,14584,19.3,49675,25203,17.6,"Corpus Christi city, Texas",25997,13500,6540,10247,13551,2937,20125,"Corpus Christi city, Texas",1900.3,160.61,"""4817000"""
Dallas,Texas,1281047,7,5.464280389,294159,0.229623894,4,0.571428571,0.341804678,8457,6.601631322,Dallas,"Dallas city, Texas",1281047,1197792,7,1197816,8.6,26.5,8.8,50,50.7,25,0.7,2.9,Z,2.6,42.4,28.8,47544,24.2,516639,43,130900,1494,512,852,467501,2.61,80.8,42.7,74.3,29.7,6.9,32.1,67.8,60.2,3378598,11536955,21239920,19169362,16256495,12837,25.6,43359,27917,24.1,"Dallas city, Texas",121276,61581,33387,40620,71594,10218,98486,"Dallas city, Texas",3517.6,340.52,"""4819000"""
Denver,Colorado,663862,1,1.50633716,58388,0.087952014,0,0,-0.087952014,3983,5.99974091,Denver,"Denver city, Colorado",663862,600025,10.6,600158,7.3,21.5,10.4,50,68.9,10.2,1.4,3.4,0.1,4.1,31.8,52.2,33471,16,285797,49.7,257500,1592,411,913,271054,2.28,77,27.5,85.6,43.7,6.6,17.6,70.9,65.8,2279048,5232842,5189894,14920938,6835351,11810,24.5,51800,34423,18.3,"Denver city, Colorado",67500,34030,20354,11421,50145,5773,55446,"Denver city, Colorado",3922.6,153,"""0820000"""
Detroit,Michigan,680250,1,1.470047777,586573,0.862290334,1,1,0.137709666,13616,20.01617053,Detroit,"Detroit city, Michigan",680250,713862,-4.7,713777,7,26.7,11.5,52.7,10.6,82.7,0.4,1.1,Z,2.2,6.8,7.8,33875,5.2,349170,50.7,45100,1106,449,756,254197,2.69,83.7,9.8,77.8,13.1,16,21.4,53.3,52.6,1253917,5689522,20216107,7112126,3271837,3567,26.8,26095,14984,39.8,"Detroit city, Michigan",50572,19134,25120,34513,13758,3046,44398,"Detroit city, Michigan",5144.3,138.75,"""2622000"""
El Paso,Texas,679036,4,5.89070388,18155,0.026736432,1,0.25,0.223263568,2671,3.933517516,El Paso,"El Paso city, Texas",679036,649133,4.6,649121,7.9,29.1,11.2,52,80.8,3.4,0.7,1.2,0.1,2.7,80.7,14.2,44734,24.9,227605,59.3,117800,1159,368,747,218490,3.03,84.6,70.6,77.2,22.7,8.5,28.4,58.3,52.4,990635,2881513,14103128,4793120,7892877,13146,22.4,42037,20050,21.5,"El Paso city, Texas",52897,28047,14792,33724,15494,4550,44836,"El Paso city, Texas",2543.2,255.24,"""4824000"""
Fort Worth,Texas,812238,5,6.155831173,136941,0.168597135,2,0.4,0.231402865,4428,5.451604086,Fort Worth,"Fort Worth city, Texas",812238,742060,9.5,741206,9,29.4,8.2,50.9,61.1,18.9,0.6,3.7,0.1,3.1,34.1,41.7,43115,17.5,291086,57.7,122100,1417,481,878,268884,2.84,81.8,32.8,80.4,26.7,7.6,24.9,66.9,59.8,1246107,4692403,24367548,11371301,9586062,14088,26.1,52492,24726,19.3,"Fort Worth city, Texas",54911,27615,16515,18410,33540,4988,45540,"Fort Worth city, Texas",2181.2,339.82,"""4827000"""
